Date;Name;Open;Close
2015-08-08;Bitcoin;279.74200439453125;260.99700927734375
2015-08-08;Ethereum;34665.56486608;35287.77976616
2015-08-08;Tether;1.0;1.0
2015-08-09;Bitcoin;261.1159973144531;265.0830078125
2015-08-09;Ethereum;35284.34443007;33746.00245614
2015-08-09;Tether;1.0;1.0
2015-08-10;Bitcoin;265.4779968261719;264.4700012207031
2015-08-10;Ethereum;33723.50965515;34235.19345116
2015-08-10;Tether;1.0;1.0
2015-08-11;Bitcoin;264.3420104980469;270.385986328125
2015-08-11;Ethereum;0.7080870270729065;1.0678600072860718
2015-08-11;Tether;1.0;1.0
2015-08-12;Bitcoin;270.5979919433594;266.3760070800781
2015-08-12;Ethereum;1.058750033378601;1.2174400091171265
2015-08-12;Tether;1.0;1.0
2015-08-13;Bitcoin;266.1830139160156;264.0799865722656
2015-08-13;Ethereum;1.2222399711608887;1.8276699781417847
2015-08-13;Tether;1.0;1.0
2015-08-14;Bitcoin;264.1319885253906;265.67999267578125
2015-08-14;Ethereum;1.810920000076294;1.8278700113296509
2015-08-14;Tether;1.0;1.0
2015-08-15;Bitcoin;265.52899169921875;261.5509948730469
2015-08-15;Ethereum;1.8028899431228638;1.6888999938964844
2015-08-15;Tether;1.0;1.0
2015-08-16;Bitcoin;261.8659973144531;258.5069885253906
2015-08-16;Ethereum;1.6843500137329102;1.5660300254821777
2015-08-16;Tether;1.0;1.0
2015-08-17;Bitcoin;258.489990234375;257.97601318359375
2015-08-17;Ethereum;1.5811899900436401;1.2036099433898926
2015-08-17;Tether;1.0;1.0
2015-08-18;Bitcoin;257.9259948730469;211.07899475097656
2015-08-18;Ethereum;1.2152999639511108;1.087049961090088
2015-08-18;Tether;1.0;1.0
2015-08-19;Bitcoin;225.67100524902344;226.6840057373047
2015-08-19;Ethereum;1.1669299602508545;1.2588599920272827
2015-08-19;Tether;1.0;1.0
2015-08-20;Bitcoin;226.8990020751953;235.35000610351562
2015-08-20;Ethereum;1.2511800527572632;1.4649200439453125
2015-08-20;Tether;1.0;1.0
2015-08-21;Bitcoin;235.35499572753906;232.56900024414062
2015-08-21;Ethereum;1.4775199890136719;1.3952900171279907
2015-08-21;Tether;1.0;1.0
2015-08-22;Bitcoin;232.66200256347656;230.38999938964844
2015-08-22;Ethereum;1.3962899446487427;1.37923002243042
2015-08-22;Tether;1.0;1.0
2015-08-23;Bitcoin;230.37600708007812;228.16900634765625
2015-08-23;Ethereum;1.375;1.3525899648666382
2015-08-23;Tether;1.0;1.0
2015-08-24;Bitcoin;228.11199951171875;210.4949951171875
2015-08-24;Ethereum;1.3455899953842163;1.2312699556350708
2015-08-24;Tether;1.0;1.0
2015-08-25;Bitcoin;210.0679931640625;221.60899353027344
